algorithm_name,env_n,scenario_n,states_n,actions_count,actions_cost,time,solution_found
DFS,30,1,2452,850.000000,850.000000,0.012047,True
DFS,30,2,2452,850.000000,1984.000000,0.017037,True
DLS-50,1,1,1121,,,0.004706,False
DLS-50,1,2,1121,,,0.005000,False
DLS-50,2,1,1344,,,0.006084,False
DLS-50,2,2,1344,,,0.006168,False
DLS-50,3,1,1138,,,0.004761,False
DLS-50,3,2,1138,,,0.006638,False
DLS-50,4,1,1021,,,0.008326,False
DLS-50,4,2,1021,,,0.005823,False
DLS-50,5,1,1300,,,0.005695,False
DLS-50,5,2,1300,,,0.005932,False
DLS-50,6,1,101,60.000000,60.000000,0.000469,True
DLS-50,6,2,101,60.000000,123.000000,0.000452,True
DLS-50,7,1,1253,,,0.005566,False
DLS-50,7,2,1253,,,0.005280,False
DLS-50,8,1,1031,,,0.004655,False
DLS-50,8,2,1031,,,0.004354,False
DLS-50,9,1,1032,,,0.005218,False
DLS-50,9,2,1032,,,0.007054,False
DLS-50,10,1,1247,,,0.007346,False
DLS-50,10,2,1247,,,0.005864,False
DLS-50,11,1,1635,,,0.007442,False
DLS-50,11,2,1635,,,0.007217,False
DLS-50,12,1,912,,,0.003799,False
DLS-50,12,2,912,,,0.003822,False
DLS-50,13,1,825,,,0.006419,False
DLS-50,13,2,825,,,0.006637,False
DLS-50,14,1,1037,,,0.006525,False
DLS-50,14,2,1037,,,0.004654,False
DLS-50,15,1,1646,,,0.007828,False
DLS-50,15,2,1646,,,0.007595,False
DLS-50,16,1,897,221.000000,221.000000,0.005504,True
DLS-50,16,2,897,221.000000,1103.000000,0.004051,True
DLS-50,17,1,1019,,,0.005610,False
DLS-50,17,2,1019,,,0.008319,False
DLS-50,18,1,505,,,0.004044,False
DLS-50,18,2,505,,,0.003751,False
DLS-50,19,1,1135,,,0.005409,False
DLS-50,19,2,1135,,,0.004814,False
DLS-50,20,1,1264,,,0.005374,False
DLS-50,20,2,1264,,,0.005388,False
DLS-50,21,1,945,,,0.003988,False
DLS-50,21,2,945,,,0.003986,False
DLS-50,22,1,657,,,0.002772,False
DLS-50,22,2,657,,,0.002817,False
DLS-50,23,1,788,,,0.004643,False
DLS-50,23,2,788,,,0.006386,False
DLS-50,24,1,970,,,0.006655,False
DLS-50,24,2,970,,,0.005890,False
DLS-50,25,1,1130,,,0.004830,False
DLS-50,25,2,1130,,,0.005187,False
DLS-50,26,1,723,,,0.003012,False
DLS-50,26,2,723,,,0.003030,False
DLS-50,27,1,889,,,0.003711,False
DLS-50,27,2,889,,,0.003752,False
DLS-50,28,1,403,,,0.001676,False
DLS-50,28,2,403,,,0.001764,False
DLS-50,29,1,1493,,,0.009248,False
DLS-50,29,2,1493,,,0.012526,False
DLS-50,30,1,802,,,0.003637,False
DLS-50,30,2,802,,,0.003654,False
DLS-75,1,1,1985,,,0.008830,False
DLS-75,1,2,1985,,,0.008548,False
DLS-75,2,1,2685,,,0.012465,False
DLS-75,2,2,2685,,,0.013878,False
DLS-75,3,1,1928,,,0.008829,False
DLS-75,3,2,1928,,,0.008381,False
DLS-75,4,1,1186,,,0.005002,False
DLS-75,4,2,1186,,,0.004924,False
DLS-75,5,1,159,89.000000,89.000000,0.000759,True
DLS-75,5,2,159,89.000000,179.000000,0.000710,True
DLS-75,6,1,658,66.000000,66.000000,0.002775,True
DLS-75,6,2,658,66.000000,129.000000,0.003090,True
DLS-75,7,1,2302,,,0.012159,False
DLS-75,7,2,2302,,,0.010965,False
DLS-75,8,1,2819,,,0.014493,False
DLS-75,8,2,2819,,,0.012758,False
DLS-75,9,1,2224,,,0.011945,False
DLS-75,9,2,2224,,,0.010536,False
DLS-75,10,1,1795,,,0.008308,False
DLS-75,10,2,1795,,,0.009723,False
DLS-75,11,1,1282,,,0.005398,False
DLS-75,11,2,1282,,,0.005817,False
DLS-75,12,1,994,,,0.004153,False
DLS-75,12,2,994,,,0.004267,False
DLS-75,13,1,1425,,,0.006232,False
DLS-75,13,2,1425,,,0.010340,False
DLS-75,14,1,2168,,,0.014197,False
DLS-75,14,2,2168,,,0.009804,False
DLS-75,15,1,1878,,,0.008137,False
DLS-75,15,2,1878,,,0.008091,False
DLS-75,16,1,1857,355.000000,355.000000,0.012310,True
DLS-75,16,2,1857,355.000000,1777.000000,0.016568,True
DLS-75,17,1,1222,,,0.005366,False
DLS-75,17,2,1222,,,0.005314,False
DLS-75,18,1,1179,,,0.005488,False
DLS-75,18,2,1179,,,0.004973,False
DLS-75,19,1,2521,,,0.012001,False
DLS-75,19,2,2521,,,0.012809,False
DLS-75,20,1,2329,,,0.010537,False
DLS-75,20,2,2329,,,0.013068,False
DLS-75,21,1,1887,,,0.008516,False
DLS-75,21,2,1887,,,0.008653,False
DLS-75,22,1,1291,,,0.005464,False
DLS-75,22,2,1291,,,0.005549,False
DLS-75,23,1,1810,,,0.007815,False
DLS-75,23,2,1810,,,0.008177,False
DLS-75,24,1,1872,339.000000,339.000000,0.010228,True
DLS-75,24,2,1872,339.000000,1707.000000,0.008665,True
DLS-75,25,1,2437,,,0.011930,False
DLS-75,25,2,2437,,,0.012924,False
DLS-75,26,1,647,,,0.002933,False
DLS-75,26,2,647,,,0.002859,False
DLS-75,27,1,1861,,,0.008118,False
DLS-75,27,2,1861,,,0.008032,False
DLS-75,28,1,517,,,0.002196,False
DLS-75,28,2,517,,,0.002181,False
DLS-75,29,1,2374,,,0.012029,False
DLS-75,29,2,2374,,,0.019219,False
DLS-75,30,1,1062,,,0.004426,False
DLS-75,30,2,1062,,,0.004818,False
DLS-100,1,1,419,114.000000,114.000000,0.001859,True
DLS-100,1,2,419,114.000000,321.000000,0.001964,True
DLS-100,2,1,3517,344.000000,344.000000,0.021720,True
DLS-100,2,2,3517,344.000000,1010.000000,0.020421,True
DLS-100,3,1,1374,374.000000,374.000000,0.006688,True
DLS-100,3,2,1374,374.000000,1742.000000,0.006936,True
DLS-100,4,1,1565,,,0.008091,False
DLS-100,4,2,1565,,,0.007529,False
DLS-100,5,1,711,101.000000,101.000000,0.003180,True
DLS-100,5,2,711,101.000000,191.000000,0.003064,True
DLS-100,6,1,1417,106.000000,106.000000,0.006425,True
DLS-100,6,2,1417,106.000000,259.000000,0.006970,True
DLS-100,7,1,1225,201.000000,201.000000,0.006102,True
DLS-100,7,2,1225,201.000000,921.000000,0.005739,True
DLS-100,8,1,3432,,,0.017184,False
DLS-100,8,2,3432,,,0.016833,False
DLS-100,9,1,3189,,,0.020417,False
DLS-100,9,2,3189,,,0.015621,False
DLS-100,10,1,1948,,,0.009084,False
DLS-100,10,2,1948,,,0.009180,False
DLS-100,11,1,1678,589.000000,589.000000,0.008174,True
DLS-100,11,2,1678,589.000000,2830.000000,0.008939,True
DLS-100,12,1,940,,,0.003974,False
DLS-100,12,2,940,,,0.004480,False
DLS-100,13,1,1643,,,0.012930,False
DLS-100,13,2,1643,,,0.007780,False
DLS-100,14,1,3285,,,0.015900,False
DLS-100,14,2,3285,,,0.019513,False
DLS-100,15,1,2869,,,0.015347,False
DLS-100,15,2,2869,,,0.022019,False
DLS-100,16,1,2686,891.000000,891.000000,0.012924,True
DLS-100,16,2,2686,891.000000,4059.000000,0.014746,True
DLS-100,17,1,807,,,0.003547,False
DLS-100,17,2,807,,,0.003523,False
DLS-100,18,1,2099,,,0.012140,False
DLS-100,18,2,2099,,,0.009843,False
DLS-100,19,1,4397,,,0.027458,False
DLS-100,19,2,4397,,,0.063878,False
DLS-100,20,1,3591,,,0.016222,False
DLS-100,20,2,3591,,,0.018888,False
DLS-100,21,1,3671,,,0.017284,False
DLS-100,21,2,3671,,,0.016396,False
DLS-100,22,1,1868,,,0.009460,False
DLS-100,22,2,1868,,,0.008621,False
DLS-100,23,1,1565,,,0.006957,False
DLS-100,23,2,1565,,,0.006870,False
DLS-100,24,1,2121,315.000000,315.000000,0.009571,True
DLS-100,24,2,2121,315.000000,1629.000000,0.009993,True
DLS-100,25,1,3140,,,0.020715,False
DLS-100,25,2,3140,,,0.027859,False
DLS-100,26,1,1285,,,0.011286,False
DLS-100,26,2,1285,,,0.006063,False
DLS-100,27,1,2476,,,0.014938,False
DLS-100,27,2,2476,,,0.012001,False
DLS-100,28,1,765,,,0.003505,False
DLS-100,28,2,765,,,0.003660,False
DLS-100,29,1,2899,,,0.016616,False
DLS-100,29,2,2899,,,0.018683,False
DLS-100,30,1,1990,,,0.009175,False
DLS-100,30,2,1990,,,0.009307,False
UCS,1,1,4111,64.000000,64.000000,0.026173,True
UCS,1,2,1601,64.000000,127.000000,0.010039,True
UCS,2,1,376,14.000000,14.000000,0.002163,True
UCS,2,2,1023,14.000000,104.000000,0.005568,True
