algorithm_name,env_n,size,best_solution,H,states,time,success
random,15,10,"[9, 3, 8, 4, 2, 0, 6, 1, 7, 5]",0,2346,0.017259836196899414,True
random,16,10,"[9, 4, 1, 5, 0, 2, 6, 8, 3, 7]",0,1784,0.013498783111572266,True
random,17,10,"[6, 8, 3, 5, 0, 9, 1, 4, 2, 7]",0,8480,0.06186723709106445,True
random,18,10,"[5, 3, 8, 0, 2, 9, 6, 1, 7, 4]",0,1917,0.013772010803222656,True
random,19,10,"[7, 0, 3, 6, 8, 1, 4, 9, 5, 2]",0,2883,0.021474123001098633,True
random,20,10,"[4, 8, 1, 9, 6, 3, 0, 7, 5, 2]",0,3439,0.02549266815185547,True
random,21,10,"[7, 0, 2, 5, 8, 6, 9, 3, 1, 4]",0,3642,0.027120351791381836,True
random,22,10,"[2, 9, 7, 1, 3, 8, 6, 4, 0, 5]",0,4778,0.035082101821899414,True
random,23,10,"[3, 7, 2, 4, 6, 9, 0, 5, 1, 8]",0,1134,0.008105754852294922,True
random,24,10,"[2, 4, 9, 7, 3, 1, 6, 8, 5, 0]",0,1360,0.009710311889648438,True
random,25,10,"[7, 1, 8, 2, 5, 3, 0, 9, 4, 6]",0,6667,0.0485224723815918,True
random,26,10,"[1, 8, 2, 7, 9, 3, 5, 0, 4, 6]",0,397,0.0028426647186279297,True
random,27,10,"[7, 4, 1, 8, 6, 3, 0, 2, 9, 5]",0,116,0.0008306503295898438,True
random,28,10,"[7, 5, 2, 8, 1, 3, 9, 6, 4, 0]",0,1785,0.01286458969116211,True
random,29,10,"[7, 5, 3, 0, 6, 4, 9, 1, 8, 2]",0,3837,0.028316736221313477,True
random,30,10,"[2, 9, 5, 1, 8, 6, 3, 7, 0, 4]",0,8479,0.06143021583557129,True
random,31,10,"[0, 5, 3, 9, 6, 8, 2, 4, 1, 7]",0,4262,0.030913829803466797,True
random,32,10,"[1, 4, 7, 3, 6, 9, 2, 0, 5, 8]",0,1023,0.007392168045043945,True
random,33,10,"[9, 2, 4, 1, 7, 3, 6, 0, 5, 8]",1,10000,0.07233810424804688,False
random,34,10,"[3, 0, 6, 8, 1, 7, 4, 2, 9, 5]",0,6197,0.044936418533325195,True
random,35,10,"[7, 5, 1, 6, 0, 3, 8, 4, 2, 9]",0,450,0.003210783004760742,True
random,36,10,"[4, 9, 3, 8, 2, 7, 1, 6, 0, 5]",0,958,0.006823062896728516,True
random,37,10,"[1, 9, 7, 2, 4, 8, 0, 5, 3, 6]",0,502,0.003593921661376953,True
random,38,10,"[6, 2, 7, 1, 4, 0, 9, 3, 5, 8]",0,3523,0.026300430297851562,True
random,39,10,"[5, 2, 4, 9, 7, 3, 1, 6, 8, 0]",0,1368,0.010179519653320312,True
random,40,10,"[3, 9, 7, 4, 2, 0, 6, 1, 5, 8]",0,4947,0.03608870506286621,True
random,41,10,"[2, 6, 8, 3, 5, 0, 9, 1, 4, 7]",0,5712,0.04166007041931152,True
random,42,10,"[5, 9, 4, 6, 0, 2, 7, 1, 3, 8]",0,1202,0.008594512939453125,True
random,43,10,"[2, 5, 8, 6, 0, 3, 1, 4, 7, 9]",0,7476,0.05419516563415527,True
random,44,10,"[7, 4, 1, 9, 0, 5, 3, 8, 6, 2]",0,8862,0.06409907341003418,True
random,45,10,"[3, 6, 0, 5, 1, 9, 7, 2, 4, 8]",0,106,0.0007748603820800781,True
random,46,10,"[6, 2, 9, 1, 8, 5, 3, 0, 7, 4]",0,9872,0.07139039039611816,True
random,47,10,"[2, 5, 9, 6, 1, 3, 7, 0, 4, 8]",0,4374,0.03206610679626465,True
random,48,10,"[7, 0, 8, 1, 4, 6, 9, 2, 5, 3]",0,2272,0.01641249656677246,True
random,49,10,"[0, 3, 6, 9, 5, 8, 1, 4, 2, 7]",0,2218,0.016655921936035156,True
random,0,12,"[6, 9, 0, 8, 1, 4, 2, 7, 11, 3, 5, 10]",1,10000,0.0946357250213623,False
random,1,12,"[2, 9, 5, 1, 8, 4, 0, 6, 3, 10, 7, 11]",1,10000,0.09433627128601074,False
random,2,12,"[1, 10, 8, 3, 11, 9, 2, 6, 4, 0, 7, 5]",1,10000,0.0937199592590332,False
random,3,12,"[10, 6, 3, 0, 11, 9, 5, 1, 8, 4, 2, 7]",0,5348,0.050668954849243164,True
random,4,12,"[4, 10, 0, 2, 3, 8, 6, 1, 9, 11, 5, 7]",1,10000,0.0936276912689209,False
random,5,12,"[1, 4, 8, 3, 7, 2, 10, 5, 0, 11, 9, 6]",1,10000,0.09413409233093262,False
random,6,12,"[1, 4, 9, 3, 0, 10, 8, 11, 5, 7, 2, 6]",0,1533,0.014385223388671875,True
random,7,12,"[9, 7, 0, 8, 3, 1, 10, 5, 11, 6, 4, 2]",1,10000,0.11352777481079102,False
random,8,12,"[7, 11, 1, 8, 2, 0, 9, 3, 5, 10, 4, 6]",1,10000,0.09360456466674805,False
random,9,12,"[6, 10, 7, 5, 11, 2, 0, 3, 8, 4, 9, 1]",1,10000,0.0939791202545166,False
random,10,12,"[1, 10, 4, 11, 3, 0, 7, 5, 2, 9, 6, 8]",1,10000,0.09375762939453125,False
random,11,12,"[11, 0, 2, 4, 6, 8, 10, 7, 1, 3, 5, 9]",1,10000,0.09400200843811035,False
random,12,12,"[8, 6, 2, 0, 7, 4, 10, 3, 9, 11, 5, 1]",0,3526,0.03372359275817871,True
random,13,12,"[11, 3, 8, 10, 4, 2, 0, 6, 9, 7, 5, 1]",1,10000,0.0944056510925293,False
random,14,12,"[2, 4, 7, 8, 10, 5, 1, 11, 0, 6, 3, 9]",1,10000,0.0936899185180664,False
random,15,12,"[4, 8, 1, 11, 6, 2, 7, 10, 0, 3, 5, 9]",0,6777,0.06396889686584473,True
random,16,12,"[11, 0, 10, 2, 4, 8, 3, 9, 6, 1, 5, 7]",1,10000,0.09372258186340332,False
random,17,12,"[6, 1, 7, 11, 5, 0, 2, 4, 10, 8, 3, 9]",1,10000,0.09527063369750977,False
random,18,12,"[4, 1, 6, 8, 10, 0, 3, 5, 2, 11, 9, 7]",1,10000,0.09939432144165039,False
random,19,12,"[5, 7, 10, 1, 6, 2, 0, 11, 8, 4, 9, 3]",0,1285,0.013413190841674805,True
random,20,12,"[6, 3, 11, 4, 9, 5, 2, 10, 7, 0, 8, 1]",1,10000,0.09920263290405273,False
random,21,12,"[1, 9, 2, 10, 8, 3, 5, 0, 11, 6, 4, 7]",0,2633,0.031032562255859375,True
random,22,12,"[2, 8, 6, 4, 7, 1, 11, 5, 3, 9, 0, 10]",1,10000,0.10007548332214355,False
random,23,12,"[1, 4, 8, 10, 2, 7, 11, 0, 3, 6, 9, 5]",0,7120,0.07269167900085449,True
random,24,12,"[4, 2, 11, 3, 7, 10, 1, 5, 9, 0, 6, 8]",1,10000,0.09938788414001465,False
random,25,12,"[5, 3, 10, 6, 11, 4, 7, 0, 2, 9, 1, 8]",1,10000,0.09948110580444336,False
random,26,12,"[4, 0, 11, 3, 9, 7, 2, 10, 6, 1, 5, 8]",1,10000,0.10030364990234375,False
random,27,12,"[5, 7, 2, 0, 8, 6, 9, 3, 1, 11, 4, 10]",0,679,0.006392478942871094,True
random,28,12,"[2, 8, 6, 4, 0, 5, 11, 10, 3, 7, 9, 1]",1,10000,0.0991678237915039,False
random,29,12,"[11, 4, 9, 7, 10, 1, 6, 2, 0, 8, 3, 5]",1,10000,0.09943294525146484,False
random,30,12,"[7, 1, 8, 0, 9, 6, 2, 10, 4, 11, 5, 3]",1,10000,0.0994260311126709,False
random,31,12,"[7, 6, 11, 5, 2, 0, 10, 3, 1, 9, 4, 8]",1,10000,0.10863685607910156,False
random,32,12,"[7, 4, 1, 11, 0, 3, 10, 8, 5, 9, 2, 6]",0,4501,0.04943227767944336,True
random,33,12,"[8, 3, 7, 10, 2, 5, 1, 9, 11, 6, 4, 0]",1,10000,0.09949517250061035,False
random,34,12,"[4, 7, 10, 2, 9, 6, 3, 0, 11, 1, 8, 5]",0,152,0.001470804214477539,True
random,35,12,"[7, 10, 3, 6, 8, 1, 11, 5, 0, 9, 4, 2]",1,10000,0.09962773323059082,False
random,36,12,"[9, 4, 1, 7, 0, 2, 11, 6, 8, 10, 5, 3]",1,10000,0.09925055503845215,False
random,37,12,"[9, 6, 4, 1, 10, 0, 7, 3, 11, 8, 2, 5]",0,4734,0.050375938415527344,True
random,38,12,"[4, 7, 1, 3, 11, 6, 8, 0, 5, 10, 2, 9]",1,10000,0.09990620613098145,False
random,39,12,"[9, 7, 0, 8, 1, 2, 10, 6, 4, 11, 5, 3]",1,10000,0.09471702575683594,False
random,40,12,"[6, 1, 10, 0, 5, 9, 11, 3, 7, 4, 8, 2]",1,10000,0.09951210021972656,False
