algorithm_name,env_n,size,best_solution,H,states,time,success
random,13,10,"[3, 9, 4, 1, 8, 6, 2, 7, 5, 0]",0,2271,0.03076958656311035,True
random,14,10,"[3, 7, 2, 4, 8, 0, 5, 9, 6, 1]",0,1972,0.020333290100097656,True
random,15,10,"[9, 3, 8, 4, 2, 0, 6, 1, 7, 5]",0,2346,0.025481700897216797,True
random,16,10,"[9, 4, 1, 5, 0, 2, 6, 8, 3, 7]",0,1784,0.019206762313842773,True
random,17,10,"[6, 8, 3, 5, 0, 9, 1, 4, 2, 7]",0,8480,0.07567572593688965,True
random,18,10,"[5, 3, 8, 0, 2, 9, 6, 1, 7, 4]",0,1917,0.01992511749267578,True
random,19,10,"[7, 0, 3, 6, 8, 1, 4, 9, 5, 2]",0,2883,0.02501201629638672,True
random,20,10,"[4, 8, 1, 9, 6, 3, 0, 7, 5, 2]",0,3439,0.028212547302246094,True
random,21,10,"[7, 0, 2, 5, 8, 6, 9, 3, 1, 4]",0,3642,0.03481578826904297,True
random,22,10,"[2, 9, 7, 1, 3, 8, 6, 4, 0, 5]",0,4778,0.03880763053894043,True
random,23,10,"[3, 7, 2, 4, 6, 9, 0, 5, 1, 8]",0,1134,0.009299993515014648,True
random,24,10,"[2, 4, 9, 7, 3, 1, 6, 8, 5, 0]",0,1360,0.01659679412841797,True
random,25,10,"[7, 1, 8, 2, 5, 3, 0, 9, 4, 6]",0,6667,0.057111263275146484,True
random,26,10,"[1, 8, 2, 7, 9, 3, 5, 0, 4, 6]",0,397,0.0029146671295166016,True
random,27,10,"[7, 4, 1, 8, 6, 3, 0, 2, 9, 5]",0,116,0.0011131763458251953,True
random,28,10,"[7, 5, 2, 8, 1, 3, 9, 6, 4, 0]",0,1785,0.024952173233032227,True
random,29,10,"[7, 5, 3, 0, 6, 4, 9, 1, 8, 2]",0,3837,0.04312014579772949,True
random,30,10,"[2, 9, 5, 1, 8, 6, 3, 7, 0, 4]",0,8479,0.08677482604980469,True
random,31,10,"[0, 5, 3, 9, 6, 8, 2, 4, 1, 7]",0,4262,0.034303903579711914,True
random,32,10,"[1, 4, 7, 3, 6, 9, 2, 0, 5, 8]",0,1023,0.015555620193481445,True
random,33,10,"[9, 2, 4, 1, 7, 3, 6, 0, 5, 8]",1,10000,0.08014965057373047,False
random,34,10,"[3, 0, 6, 8, 1, 7, 4, 2, 9, 5]",0,6197,0.04935312271118164,True
random,35,10,"[7, 5, 1, 6, 0, 3, 8, 4, 2, 9]",0,450,0.0032491683959960938,True
random,36,10,"[4, 9, 3, 8, 2, 7, 1, 6, 0, 5]",0,958,0.010407686233520508,True
random,37,10,"[1, 9, 7, 2, 4, 8, 0, 5, 3, 6]",0,502,0.00584721565246582,True
random,38,10,"[6, 2, 7, 1, 4, 0, 9, 3, 5, 8]",0,3523,0.03643369674682617,True
random,39,10,"[5, 2, 4, 9, 7, 3, 1, 6, 8, 0]",0,1368,0.013643264770507812,True
random,40,10,"[3, 9, 7, 4, 2, 0, 6, 1, 5, 8]",0,4947,0.04467582702636719,True
random,41,10,"[2, 6, 8, 3, 5, 0, 9, 1, 4, 7]",0,5712,0.05819892883300781,True
random,42,10,"[5, 9, 4, 6, 0, 2, 7, 1, 3, 8]",0,1202,0.010417699813842773,True
random,43,10,"[2, 5, 8, 6, 0, 3, 1, 4, 7, 9]",0,7476,0.06974506378173828,True
random,44,10,"[7, 4, 1, 9, 0, 5, 3, 8, 6, 2]",0,8862,0.1017158031463623,True
random,45,10,"[3, 6, 0, 5, 1, 9, 7, 2, 4, 8]",0,106,0.0024306774139404297,True
random,46,10,"[6, 2, 9, 1, 8, 5, 3, 0, 7, 4]",0,9872,0.11309456825256348,True
random,47,10,"[2, 5, 9, 6, 1, 3, 7, 0, 4, 8]",0,4374,0.03562784194946289,True
random,48,10,"[7, 0, 8, 1, 4, 6, 9, 2, 5, 3]",0,2272,0.020763397216796875,True
random,49,10,"[0, 3, 6, 9, 5, 8, 1, 4, 2, 7]",0,2218,0.019887924194335938,True
random,0,12,"[6, 9, 0, 8, 1, 4, 2, 7, 11, 3, 5, 10]",1,10000,0.10958695411682129,False
random,1,12,"[2, 9, 5, 1, 8, 4, 0, 6, 3, 10, 7, 11]",1,10000,0.1059422492980957,False
