algorithm_name,env_n,scenario_n,states_n,actions_count,actions_cost,time,solution_found
DLS-75,17,2,1222,,,0.007334,False
DLS-75,18,1,1179,,,0.005256,False
DLS-75,18,2,1179,,,0.004973,False
DLS-75,19,1,2521,,,0.011367,False
DLS-75,19,2,2521,,,0.013292,False
DLS-75,20,1,2329,,,0.010852,False
DLS-75,20,2,2329,,,0.012290,False
DLS-75,21,1,1887,,,0.008370,False
DLS-75,21,2,1887,,,0.008662,False
DLS-75,22,1,1291,,,0.005520,False
DLS-75,22,2,1291,,,0.005444,False
DLS-75,23,1,1810,,,0.008215,False
DLS-75,23,2,1810,,,0.008078,False
DLS-75,24,1,1872,339.000000,339.000000,0.009958,True
DLS-75,24,2,1872,339.000000,1707.000000,0.009164,True
DLS-75,25,1,2437,,,0.015487,False
DLS-75,25,2,2437,,,0.015888,False
DLS-75,26,1,647,,,0.002693,False
DLS-75,26,2,647,,,0.002827,False
DLS-75,27,1,1861,,,0.008603,False
DLS-75,27,2,1861,,,0.008059,False
DLS-75,28,1,517,,,0.002163,False
DLS-75,28,2,517,,,0.002334,False
DLS-75,29,1,2374,,,0.018763,False
DLS-75,29,2,2374,,,0.017278,False
DLS-75,30,1,1062,,,0.008492,False
DLS-75,30,2,1062,,,0.007369,False
DLS-100,1,1,419,114.000000,114.000000,0.001800,True
DLS-100,1,2,419,114.000000,321.000000,0.001792,True
DLS-100,2,1,3517,344.000000,344.000000,0.016450,True
DLS-100,2,2,3517,344.000000,1010.000000,0.018236,True
DLS-100,3,1,1374,374.000000,374.000000,0.007921,True
DLS-100,3,2,1374,374.000000,1742.000000,0.006305,True
DLS-100,4,1,1565,,,0.006867,False
DLS-100,4,2,1565,,,0.007222,False
DLS-100,5,1,711,101.000000,101.000000,0.003046,True
DLS-100,5,2,711,101.000000,191.000000,0.003007,True
DLS-100,6,1,1417,106.000000,106.000000,0.006261,True
DLS-100,6,2,1417,106.000000,259.000000,0.006639,True
DLS-100,7,1,1225,201.000000,201.000000,0.006182,True
DLS-100,7,2,1225,201.000000,921.000000,0.006391,True
DLS-100,8,1,3432,,,0.017006,False
DLS-100,8,2,3432,,,0.018377,False
DLS-100,9,1,3189,,,0.015812,False
DLS-100,9,2,3189,,,0.016522,False
DLS-100,10,1,1948,,,0.010474,False
DLS-100,10,2,1948,,,0.009755,False
DLS-100,11,1,1678,589.000000,589.000000,0.009322,True
DLS-100,11,2,1678,589.000000,2830.000000,0.007968,True
DLS-100,12,1,940,,,0.003916,False
DLS-100,12,2,940,,,0.003901,False
DLS-100,13,1,1643,,,0.007209,False
DLS-100,13,2,1643,,,0.007557,False
DLS-100,14,1,3285,,,0.016333,False
DLS-100,14,2,3285,,,0.019208,False
DLS-100,15,1,2869,,,0.017895,False
DLS-100,15,2,2869,,,0.020002,False
DLS-100,16,1,2686,891.000000,891.000000,0.017593,True
DLS-100,16,2,2686,891.000000,4059.000000,0.017956,True
DLS-100,17,1,807,,,0.003386,False
DLS-100,17,2,807,,,0.003440,False
DLS-100,18,1,2099,,,0.009419,False
DLS-100,18,2,2099,,,0.009250,False
DLS-100,19,1,4397,,,0.027553,False
DLS-100,19,2,4397,,,0.062736,False
DLS-100,20,1,3591,,,0.021167,False
DLS-100,20,2,3591,,,0.022851,False
DLS-100,21,1,3671,,,0.024813,False
DLS-100,21,2,3671,,,0.022408,False
DLS-100,22,1,1868,,,0.012569,False
DLS-100,22,2,1868,,,0.008827,False
DLS-100,23,1,1565,,,0.006776,False
DLS-100,23,2,1565,,,0.006795,False
DLS-100,24,1,2121,315.000000,315.000000,0.009319,True
DLS-100,24,2,2121,315.000000,1629.000000,0.009891,True
DLS-100,25,1,3140,,,0.016510,False
DLS-100,25,2,3140,,,0.016229,False
DLS-100,26,1,1285,,,0.005754,False
DLS-100,26,2,1285,,,0.006107,False
DLS-100,27,1,2476,,,0.013069,False
DLS-100,27,2,2476,,,0.013394,False
DLS-100,28,1,765,,,0.003241,False
DLS-100,28,2,765,,,0.003549,False
DLS-100,29,1,2899,,,0.013159,False
DLS-100,29,2,2899,,,0.014891,False
DLS-100,30,1,1990,,,0.009050,False
DLS-100,30,2,1990,,,0.008653,False
UCS,1,1,4111,64.000000,64.000000,0.031555,True
UCS,1,2,1601,64.000000,127.000000,0.009730,True
UCS,2,1,376,14.000000,14.000000,0.001943,True
UCS,2,2,1023,14.000000,104.000000,0.005504,True
UCS,3,1,4307,52.000000,52.000000,0.032521,True
UCS,3,2,5730,52.000000,340.000000,0.042285,True
UCS,4,1,8767,124.000000,124.000000,0.056901,True
UCS,4,2,8701,124.000000,763.000000,0.059066,True
UCS,5,1,3638,59.000000,59.000000,0.028320,True
UCS,5,2,908,59.000000,95.000000,0.005141,True
UCS,6,1,3040,46.000000,46.000000,0.022650,True
UCS,6,2,678,46.000000,73.000000,0.006776,True
UCS,7,1,5284,65.000000,65.000000,0.037961,True
UCS,7,2,4822,65.000000,299.000000,0.030007,True
UCS,8,1,5866,63.000000,63.000000,0.040537,True
UCS,8,2,5908,63.000000,351.000000,0.037066,True
UCS,9,1,7817,111.000000,111.000000,0.051910,True
